Beam,Date,Time,RTT(ms),Download(kbit/s),Upload(kbit/s)
106,2018-11-15,1415,,,
106,2018-11-15,1420,834.399,1177.6,2314.24
106,2018-11-15,1425,793.395,952.32,2222.08
106,2018-11-15,1430,787.355,768.0,2048.0
106,2018-11-15,1435,1136.648,1054.72,2355.2
106,2018-11-15,1440,477.178,1239.04,2836.48
106,2018-11-15,1445,630.499,1075.2,337.92
106,2018-11-15,1450,448.643,1382.4,2406.4
106,2018-11-15,1455,612.857,1300.48,2304.0
106,2018-11-15,1500,786.263,675.84,2754.56
106,2018-11-15,1505,479.36,829.44,2263.04
106,2018-11-15,1510,817.599,921.6,2867.2
106,2018-11-15,1515,1299.844,1607.68,2252.8
106,2018-11-15,1520,,,
106,2018-11-15,1525,467.867,512.0,2529.28
106,2018-11-15,1530,1313.906,307.2,2969.6
106,2018-11-15,1535,479.956,1095.68,2355.2
106,2018-11-15,1540,451.806,1515.52,2519.04
106,2018-11-15,1545,,,
106,2018-11-15,1550,,,
106,2018-11-15,1555,1115.982,143.36,2519.04
106,2018-11-15,1600,610.977,512.0,2222.08
106,2018-11-15,1605,696.534,686.08,2703.36
106,2018-11-15,1610,1133.608,143.36,2406.4
106,2018-11-15,1615,456.184,983.04,2252.8
106,2018-11-15,1620,800.696,440.32,2293.76
106,2018-11-15,1625,473.748,1095.68,2232.32
106,2018-11-15,1630,591.782,1136.64,2375.68
106,2018-11-15,1635,464.281,1064.96,1730.56
106,2018-11-15,1640,458.181,808.96,1986.56
106,2018-11-15,1645,435.537,1382.4,2211.84
106,2018-11-15,1650,438.156,1218.56,2099.2
106,2018-11-15,1655,455.936,1126.4,1679.36
106,2018-11-15,1700,568.639,1198.08,2242.56
106,2018-11-15,1705,467.844,962.56,2129.92
106,2018-11-15,1710,444.704,1228.8,2222.08
106,2018-11-15,1715,465.032,1136.64,2201.6
106,2018-11-15,1720,541.655,819.2,2775.04
106,2018-11-15,1725,441.171,931.84,2488.32
106,2018-11-15,1730,455.219,1105.92,2211.84
